Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                Insurance carriers and related activities,,-41.324200913242,-22.17898832684825,45.50000000000001,14.432989690721643,-28.52852852852853,-12.605042016806722,-20.192307692307686,-36.74698795180723,0.952380952380949,143.39622641509436,-1.9379844961240345
                Legal services,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                Machinery,,,,,3.149606299212593,-2.900763358778624,2.358490566037741,-7.5268817204301115,-9.634551495016607,18.198529411764696,9.64230171073095,-1.9858156028368823
                Miscellaneous manufacturing,,0.0,17.60391198044009,-52.5987525987526,5.043859649122817,3.5490605427974886,2.822580645161299,-10.196078431372547,-16.5938864628821,21.204188481675402,25.053995680345565,-2.072538860103623
"                Motor vehicles, bodies and trailers, and parts",,0.0,-33.333333333333336,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,100.0,-50.0
                Nonmetallic mineral products,,10.989010989010994,1.980198019801982,-61.165048543689316,5.000000000000004,-7.14285714285714,2.564102564102555,-9.999999999999998,-11.111111111111116,0.0,9.375,-2.857142857142858
                Nursing and residential care facilities,,,,,,,,,,,,
                Paper products,,195.83333333333334,-26.76056338028169,-51.92307692307692,12.00000000000001,39.28571428571428,-30.76923076923077,-3.703703703703709,-30.76923076923077,38.888888888888886,0.0,-4.0000000000000036
"                Performing arts, spectator sports, museums, and related activities",,10.655737704918034,8.148148148148149,-1.3698630136986356,4.861111111111116,10.596026490066235,2.9940119760478945,5.232558139534893,-9.392265193370164,1.2195121951219523,-8.433734939759042,2.6315789473684292
                Petroleum and coal products,,-70.96774193548387,-5.555555555555558,-58.82352941176471,71.42857142857142,-25.0,300.0,-19.444444444444443,-17.24137931034483,-16.666666666666664,5.000000000000004,-4.761904761904767
                Plastics and rubber products,,21.875,-8.424908424908429,-68.39999999999999,50.63291139240506,-6.72268907563025,-28.828828828828833,-13.924050632911388,-22.058823529411764,20.75471698113207,25.0,-2.500000000000002
                Primary metals,,0.0,52.0,-22.807017543859654,-29.54545454545454,-3.2258064516129004,-23.33333333333333,-17.391304347826086,2.6315789473684292,-10.256410256410254,22.857142857142865,0.0
                Printing and related support activities,,-14.893617021276595,-17.500000000000004,-66.66666666666667,-9.090909090909093,-30.000000000000004,0.0,57.14285714285714,-45.45454545454546,-16.666666666666664,0.0,-19.999999999999996
                Real estate,,inf,0.0,100.0,50.0,33.33333333333333,-25.0,33.33333333333333,50.0,-16.666666666666664,0.0,0.0
                Rental and leasing services and lessors of intangible assets,,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"                Securities, commodity contracts, and investments",,19.999999999999996,16.666666666666675,14.28571428571428,50.0,233.33333333333334,-77.5,0.0,11.111111111111116,19.999999999999996,0.0,16.666666666666675
                Social assistance,,,,,,,,,,,inf,-100.0
                Textile mills and textile product mills,,28.57142857142858,-11.111111111111116,-45.833333333333336,53.846153846153854,-25.0,6.666666666666665,-31.25,-18.181818181818176,11.111111111111116,30.000000000000004,-7.692307692307687
                Waste management and remediation services,,,,,,,,,,,,
                Wood products,,-50.0,62.5,-76.92307692307692,0.0,-16.666666666666664,19.999999999999996,-33.333333333333336,0.0,125.0,-33.333333333333336,0.0
            Accommodation and food services,,33.33333333333333,0.0,0.0,-25.0,0.0,0.0,0.0,-33.333333333333336,0.0,100.0,25.0
            Administrative and waste management services,,113.63636363636363,53.191489361702125,31.944444444444443,28.421052631578945,14.754098360655732,-9.999999999999998,1.5873015873015817,-7.8125,7.6271186440677985,22.83464566929134,12.17948717948718
            Air transportation,,-18.211559432933477,-22.666666666666668,5.517241379310356,0.6535947712418277,-16.233766233766232,45.34883720930232,-38.93333333333333,-19.213973799126638,-15.67567567567567,200.96153846153845,0.0
"            Arts, entertainment, and recreation",,10.655737704918034,8.888888888888879,-2.0408163265306145,4.861111111111116,10.596026490066235,2.9940119760478945,5.813953488372103,-9.890109890109889,1.8292682926829285,-8.982035928143716,2.6315789473684292
"            Data processing, internet publishing, and other information services",,8.498896247240628,0.3051881993896277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
            Finance and insurance,,-39.91228070175439,-20.8029197080292,47.004608294930875,17.24137931034482,-18.181818181818176,-22.87581699346405,-18.220338983050844,-31.606217616580313,9.84848484848484,104.82758620689654,-1.0101010101010055
            Food and beverage stores,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-50.0,100.0,0.0,0.0
            General merchandise stores,,18.421052631578938,4.444444444444451,12.765957446808507,37.73584905660377,-10.95890410958904,18.461538461538463,32.467532467532465,-24.50980392156863,28.57142857142858,-10.1010101010101,4.494382022471921
            Health care and social assistance,,3.0000000000000027,-15.533980582524276,13.793103448275868,10.1010101010101,1.83486238532109,14.414414414414424,-18.11023622047244,-50.0,109.61538461538463,197.24770642201835,-65.12345679012346
            Management of companies and enterprises,,2.7906976744185963,-31.674208144796378,26.490066225165563,58.63874345549738,-16.831683168316836,-22.619047619047617,11.282051282051286,-19.354838709677423,-0.5714285714285672,4.597701149425282,12.637362637362637
"            Mining, except oil and gas",,,,inf,0.0,0.0,-100.0,,,,,
            Motion picture and sound recording industries,,1.8181818181818077,-5.35714285714286,-5.660377358490565,-4.0000000000000036,18.75,-14.035087719298245,16.326530612244895,-24.561403508771928,-2.3255813953488413,11.904761904761907,14.893617021276606
            Motor vehicle and parts dealers,,0.0,0.0,0.0,0.0,-100.0,,inf,0.0,0.0,0.0,0.0
