 ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
"Space economy excluding satellite television, satellite radio, and educational services6","133,452 ","138,716 ","142,425 ","151,425 ","156,117 ","158,839 ","161,805 ","166,858 ","161,437 ","160,521 ","172,490 ","173,572 ",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
